Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	13	Paragraph count, number of paragraphs
2	DESSC	READNS	14	Sentence count, number of sentences
3	DESWC	READNW	275	Word count, number of words
4	DESPL	READAPL	1.077	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	0.277	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	20	Sentence length, number of words, mean
7	DESSLd	n/a	19.115	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.625	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.929	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	5.004	Word length, number of letters, mean
11	DESWLltd	n/a	2.782	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.837	Text Easability PC Narrativity, z score
13	PCNARp	n/a	20.330	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	0.051	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	51.990	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	0.725	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	76.420	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-2.387	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	0.870	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	0.234	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	59.100	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	-0.301	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	38.210	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.370	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	8.530	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-1.974	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	2.440	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.462	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.462	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.462	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.165	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.188	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.200	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.033	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.042	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.014	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.036	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.077	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.012	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.128	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.178	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.021	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.143	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.176	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.190	Lexical diversity, type-token ratio, content word lemmas
