Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	7	Paragraph count, number of paragraphs
2	DESSC	READNS	15	Sentence count, number of sentences
3	DESWC	READNW	311	Word count, number of words
4	DESPL	READAPL	2.143	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.345	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	21	Sentence length, number of words, mean
7	DESSLd	n/a	17.607	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.608	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.977	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.977	Word length, number of letters, mean
11	DESWLltd	n/a	2.803	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.125	Text Easability PC Narrativity, z score
13	PCNARp	n/a	45.220	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-0.329	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	37.070	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	1.294	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	90.150	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-1.362	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	8.690	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	-0.386	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	35.200	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.434	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	66.640	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-2.122	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	1.700	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.576	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	28.430	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.214	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.357	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.429	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.179	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.316	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.274	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.053	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.084	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.038	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.064	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.286	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.105	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.114	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.124	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.097	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.144	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.193	LSA given/new, sentences, mean
45	LSAGNd	n/a	0.173	LSA given/new, sentences, standard deviation
46	LDTTRc	TYPTOKc	0.208	Lexical diversity, type-token ratio, content word lemmas
47	LDTTRa	n/a	0.146	Lexical diversity, type-token ratio, all words
48	LDMTLD	LEXDIVTD	0.845	Lexical diversity, MTLD, all words
49	LDVOCD	LEXDIVVD	0.568	Lexical diversity, VOCD, all words
50	CNCAll	CONi	88.699	All connectives incidence
51	CNCCaus	CONCAUSi	75.107	Causal connectives incidence
52	CNCLogic	CONLOGi	77.170	Logical connectives incidence
53	CNCADC	CONADVCONi	22.508	Adversative and contrastive connectives incidence
54	CNCTemp	CONTEMPi	22.508	Temporal connectives incidence
55	CNCTempx	CONTEMPEXi	6.431	Expanded temporal connectives incidence
56	CNCAdd	CONADDi	19.293	Additive connectives incidence
57	CNCPos	n/a	16.077	Positive connectives incidence
58	CNCNeg	n/a	57.878	Negative connectives incidence
59	SMCAUSv	CAUSV	25.723	Causal verb incidence
60	SMCAUSvp	CAUSVP	35.370	Causal verbs and causal particles incidence
61	SMINTEp	INTEi	22.508	Intentional verbs incidence
62	SMCAUSr	CAUSC	0.333	Ratio of casual particles to causal verbs
63	SMINTEr	INTEC	0.5	Ratio of intentional particles to intentional verbs
64	SMCAUSlsa	CAUSLSA	0.042	LSA verb overlap
65	SMCAUSwn	CAUSWN	0.485	WordNet verb overlap
66	SMTEMP	TEMPta	0.821	Temporal cohesion, tense and aspect repetition, mean
67	SYNLE	SYNLE	2.067	Left embeddedness, words before main verb, mean
68	SYNNP	SYNNP	1	Number of modifiers per noun phrase, mean
69	SYNMEDpos	MEDwtm	0.735	Minimal Edit Distance, part of speech
70	SYNMEDwrd	MEDawm	0.931	Minimal Edit Distance, all words
71	SYNMEDlem	MEDalm	0.890	Minimal Edit Distance, lemmas
72	SYNSTRUTa	STRUTa	0.129	Sentence syntax similarity, adjacent sentences, mean
73	SYNSTRUTt	STRUTt	0.059	Sentence syntax similarity, all combinations, across paragraphs, mean
74	DRNP	n/a	376.206	Noun phrase density, incidence
75	DRVP	n/a	215.434	Verb phrase density, incidence
76	DRAP	n/a	19.293	Adverbial phrase density, incidence
77	DRPP	n/a	141.479	Preposition phrase density, incidence
78	DRPVAL	AGLSPSVi	3.215	Agentless passive voice density, incidence
79	DRNEG	DENNEGi	0	Negation density, incidence
80	DRGERUND	GERUNDi	25.723	Gerund density, incidence
81	DRINF	INFi	32.154	Infinitive density, incidence
82	WRDNOUN	NOUNi	273.312	Noun incidence
83	WRDVERB	VERBi	135.048	Verb incidence
84	WRDADJ	ADJi	54.662	Adjective incidence
85	WRDADV	ADVi	28.939	Adverb incidence
86	WRDPRO	DENPRPi	57.878	Pronoun incidence
87	WRDPRP1s	n/a	19.293	First person singular pronoun incidence
88	WRDPRP1p	n/a	28.939	First person plural pronoun incidence
89	WRDPRP2	PRO2i	0	Second person pronoun incidence
90	WRDPRP3s	n/a	3.215	Third person singular pronoun incidence
91	WRDPRP3p	n/a	0	Third person plural pronoun incidence
92	WRDFRQc	FRCLacwm	2.144	CELEX word frequency for content words, mean
93	WRDFRQa	FRCLaewm	3.083	CELEX Log frequency for all words, mean
94	WRDFRQmc	FRCLmcsm	2.150	CELEX Log minimum frequency for content words, mean
95	WRDAOAc	WRDAacwm	366.476	Age of acquisition for content words, mean
96	WRDFAMc	WRDFacwm	565.957	Familiarity for content words, mean
97	WRDCNCc	WRDCacwm	418.146	Concreteness for content words, mean
98	WRDIMGc	WRDIacwm	446.152	Imagability for content words, mean
99	WRDMEAc	WRDMacwm	457.738	Meaningfulness, Colorado norms, content words, mean
100	WRDPOLc	POLm	3.610	Polysemy for content words, mean
101	WRDHYPn	HYNOUNaw	6.207	Hypernymy for nouns, mean
102	WRDHYPv	HYVERBaw	1.796	Hypernymy for verbs, mean
103	WRDHYPnv	HYPm	1.937	Hypernymy for nouns and verbs, mean
104	RDFRE	READFRE	49.754	Flesch Reading Ease
105	RDFKGL	READFKGL	11.470	Flesch-Kincaid Grade level
106	RDL2	L2	13.257	Coh-Metrix L2 Readability
